,Histories,End states,Mem.,Time,Histories,End states,Mem.,Time,Histories,End states,Mem.,Time
courseware-1,48,48,256MB,00:00:03,27,48,256MB,00:00:03,9,48,256MB,00:00:03
courseware-2,12,12,256MB,00:00:05,11,12,256MB,00:00:05,6,12,256MB,00:00:05
courseware-3,370,370,310MB,00:00:07,54,370,314MB,00:00:09,3,370,308MB,00:00:08
courseware-4,18,18,256MB,00:00:02,5,18,256MB,00:00:02,1,18,256MB,00:00:02
courseware-5,34,34,256MB,00:00:03,1,34,256MB,00:00:04,1,34,256MB,00:00:06
shoppingcart-1,32,32,256MB,00:00:03,3,32,310MB,00:00:03,1,32,256MB,00:00:03
shoppingcart-2,174,174,256MB,00:00:05,20,174,256MB,00:00:06,1,174,256MB,00:00:06
shoppingcart-3,77,77,256MB,00:00:04,34,77,256MB,00:00:04,14,77,256MB,00:00:04
shoppingcart-4,445,445,256MB,00:00:06,226,445,370MB,00:00:08,1,445,370MB,00:00:07
shoppingcart-5,170,170,308MB,00:00:05,68,170,256MB,00:00:05,10,170,256MB,00:00:06
tpcc-1,22,22,407MB,00:00:08,1,22,450MB,00:00:08,1,22,392MB,00:00:07
tpcc-2,88,88,375MB,00:00:15,2,88,411MB,00:00:16,2,88,378MB,00:00:16
tpcc-3,63,63,447MB,00:00:09,5,63,458MB,00:00:10,1,63,444MB,00:00:10
tpcc-4,105,105,387MB,00:00:15,22,105,479MB,00:00:12,1,105,374MB,00:00:11
tpcc-5,1108,1108,444MB,00:01:28,57,1108,450MB,00:01:35,5,1108,566MB,00:01:26
twitter-1,16,16,309MB,00:00:03,10,16,256MB,00:00:03,3,16,308MB,00:00:03
twitter-2,59,59,308MB,00:00:03,5,59,256MB,00:00:04,1,59,256MB,00:00:04
twitter-3,114,114,256MB,00:00:05,36,114,308MB,00:00:06,6,114,256MB,00:00:05
twitter-4,1995,1995,308MB,00:01:17,84,1995,370MB,00:01:27,84,1995,308MB,00:01:17
twitter-5,1995,1995,308MB,00:01:09,84,1995,308MB,00:01:16,84,1995,311MB,00:01:09
wikipedia-1,32,32,308MB,00:00:06,2,32,326MB,00:00:05,2,32,318MB,00:00:05
wikipedia-2,138,138,372MB,00:00:12,3,138,370MB,00:00:11,1,138,308MB,00:00:10
wikipedia-3,156,156,370MB,00:00:09,1,156,444MB,00:00:09,1,156,377MB,00:00:08
wikipedia-4,53,53,323MB,00:00:09,12,53,323MB,00:00:09,1,53,327MB,00:00:09
wikipedia-5,3208,3208,308MB,00:00:52,2,3208,370MB,00:01:00,1,3208,322MB,00:00:51