Benchmark;Histories1;Mem.1;Time1;Histories2;Mem.2;Time2;Histories3;Mem.3;Time3;Histories4;Mem.4;Time4;Histories5;Mem.5;Time5
tpcc-1;2;313MB;00:00:03;5;311MB;00:00:04;6;341MB;00:00:05;241;393MB;00:00:23;9491;829MB;00:08:34
tpcc-2;6;256MB;00:00:04;223;456MB;00:00:24;1296;562MB;00:02:03;4867;810MB;00:09:18;11085;1195MB;00:30:00
tpcc-3;2;256MB;00:00:03;26;324MB;00:00:07;502;501MB;00:00:40;10352;1482MB;00:07:52;20949;1304MB;00:30:00
tpcc-4;7;256MB;00:00:04;216;461MB;00:00:19;541;537MB;00:00:41;13012;695MB;00:15:58;20609;1157MB;00:30:00
tpcc-5;1;256MB;00:00:03;2;256MB;00:00:05;3;336MB;00:00:05;8;376MB;00:00:06;19;381MB;00:00:08
wikipedia-1;6;256MB;00:00:02;212;308MB;00:00:07;8430;312MB;00:16:45;117794;378MB;00:30:00;107924;444MB;00:30:00
wikipedia-2;4;256MB;00:00:03;8;308MB;00:00:04;36;256MB;00:00:06;851;460MB;00:00:47;8725;256MB;00:17:10
wikipedia-3;6;256MB;00:00:03;216;311MB;00:00:12;7244;536MB;00:05:34;25589;567MB;00:30:00;21133;645MB;00:30:00
wikipedia-4;1;256MB;00:00:02;9;320MB;00:00:04;315;623MB;00:00:43;1031;338MB;00:01:52;2534;839MB;00:05:01
wikipedia-5;2;256MB;00:00:03;6;256MB;00:00:05;12;256MB;00:16:45;57;376MB;00:00:08;228;533MB;00:00:23